Date,16-Jul,,,,,,,,,,,,,,,,,,,,,,,,17-Jul,,,,,,,,,,,,,,,,,,,,,,,,18-Jul,,,,,,,,,,,,,,,,,,,,,,,,19-Jul,,,,,,,,,,,,,,,,,,,,,,,
Hour (PDT),17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Temperature (°F),109,107,107,101,97,94,92,91,89,87,85,83,83,81,83,86,90,93,96,100,102,104,106,106,106,105,103,100,96,93,92,90,88,86,85,84,83,84,85,85,89,92,96,98,99,101,102,102,103,101,100,99,96,94,91,89,87,85,83,82,81,82,84,85,89,93,96,99,101,104,104,104,104,103,101,100,97,93,90,88,86,84,82,80,79,80,82,84,88,93,98,100,103,106,106,107
Dewpoint (°F),57,56,56,55,55,55,54,58,57,58,60,60,61,61,61,62,62,61,58,58,57,56,55,55,55,54,55,54,55,55,55,56,58,60,61,62,62,62,63,63,63,63,63,62,60,58,57,57,57,57,57,57,56,55,55,55,56,57,58,59,61,64,66,68,67,66,63,60,57,54,53,52,52,51,50,49,48,47,47,48,49,51,52,54,56,59,61,63,63,62,60,57,53,50,49,48
Heat Index (°F),109,107,107,100,95,92,90,90,88,86,85,83,83,82,83,86,90,93,95,100,102,103,105,105,105,104,102,98,94,91,90,88,87,86,85,85,84,85,86,86,90,93,98,99,99,101,102,102,103,100,99,98,95,92,89,87,86,84,83,82,82,83,86,88,92,96,98,99,100,102,102,102,102,100,98,97,94,89,87,85,83,82,81,80,79,81,83,85,89,94,98,99,101,103,103,104
Surface Wind (mph),11,11,10,10,9,8,7,6,6,6,5,3,3,3,3,3,5,5,5,5,6,6,6,7,7,8,8,8,7,7,6,6,6,6,5,5,3,3,3,5,6,6,7,7,7,7,7,8,8,8,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,6
Wind Dir,SE,S,S,SE,S,S,SE,SE,ESE,SSE,ESE,ESE,S,ESE,ESE,S,SE,SE,SSW,SE,SE,WSW,SSE,SE,S,SSE,SSE,S,S,SSE,SSE,SSE,SE,SE,SE,ESE,ESE,ESE,ESE,ESE,SE,SE,SE,SE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,S,S,SSE,SSE,SE,SE,ESE,ESE,ESE,ESE,ESE,SE,SE,SE,SE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,S,S,S,S,SSE,SE,SE,SE,ESE,ESE,SE,SE,SE,ESE,ESE,SE,SE,SE,SSE,SSE
Gust,21,20,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Cover (%),4,4,9,3,3,2,3,3,4,4,4,3,3,5,5,9,1,2,3,3,4,9,11,7,6,5,9,5,4,5,7,7,8,9,13,17,22,26,29,32,36,39,41,42,42,39,33,26,20,17,15,14,12,10,8,7,8,8,9,9,10,10,11,10,8,6,5,5,6,7,7,6,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,4,3,2,1,2,3,4,5,6
Precipitation Potential (%),2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relative Humidity (%),19,19,19,22,25,27,28,33,34,38,43,46,48,51,48,45,39,35,28,25,23,21,19,19,19,19,21,22,25,28,29,32,36,42,45,48,49,48,48,48,42,38,34,31,28,24,23,23,22,24,24,25,26,27,30,32,35,39,43,46,51,55,55,57,48,41,34,28,24,19,19,18,18,18,18,18,19,21,23,25,28,32,35,41,45,49,49,49,43,36,29,24,19,16,15,14
